"id","app","content","score"
"1","Disaster Alert (PDC Global)","Love the app, up to date and timely notifications. I would give 5 stars, except I do not want to see COVID info all over the map, and when I change settings it doesn’t store. I either have to keep the app open, or change settings every time I open it. Time zone doesn’t store either. No settings store.","4"
"2","Disaster Alert (PDC Global)","I had to take this off my old phone when it ran out of memory, but I re-added it on my new phone immediately. It is fascinating, albeit a little alarming to see problems all around the world!  It’s amazing to realize that our lifestyle here in the United States is responsible for so many earthquakes, floods, volcanoes and droughts all over the planet! To think that all hurricanes, tornadoes, wildfires and health pandemics are the fault of fat lazy Americans driving Hummers makes me sad to be breathing air on this precious planet. Naturally NONE of these things ever happened before America came along. I’d kill myself it this app weren’t so darn interesting.","5"
"3","Disaster Alert (PDC Global)","First off wouldn’t recognize my login information, had to create a new account. Not too much of a big deal but then I tried using the app..... horrible. The interface is real buggy, you have to tap on a location 30 times before it will actually register that you tapped it. Im sure the information from this app is great since it’s from the PDC, but it doesn’t help if you can’t even select the items you want the information from. Trying to change user preferences is basically impossible, I tried something as simple as changing the time zone. Wouldn’t recognize Tokyo as a time zone, then tried to select it by country but wouldn’t even let me select japan. Already given up, if the app can’t handle the basic things, then I don’t trust it to do anything else. From what I’ve been reading, it was great before a major update. My suggestion go back.","1"
"4","Disaster Alert (PDC Global)","This is a fantastic app I’d like to see being used worldwide! Using a system of communication with government disaster alerts and social media to communicate with the public in the line of fire, what others may not, we can all be quickly informed of local disasters to drive around, like CA fires, or when an earthquake across the world will or will not produce a tsunami threat! Great resource! Thank you to the dedicated staff working all ours to give us the latest weather & disaster related information like hurricanes, flooding, earthquakes, fires & more! Most current, local info at your fingertips!","5"
"5","Disaster Alert (PDC Global)","I just posted a few days ago.  When I first got this app a couple of years ago, it worked great.  Then with each update to “improve” the app, things kept getting worse.  The last time I posted that I’d have to delete & reinstall this app because just a day or two after installing, the symbol you tap on to view the disasters would disappear & there was no way to get it back.  So I reinstalled it for the 3rd time 2 days ago & the following day, that symbol disappeared again!  I’ll never install this one again.  A complete waste of my time.   I will find a disaster app that will work.  My job requires that I stay abreast of worldwide disasters.","1"
"6","Disaster Alert (PDC Global)","This app leaves out or they don't know of other reported events that happens as the earthquake in Northwest Tennessee on Feb. 2017 never showed up on this app ! There need to be a archives search on this app for back information, if you want to track back history. Nothing reported on nuclear waste of Japan Monitoring or other sites. No links to lake or river pollution levels that each U.S. state documents and reports. I probably want keep this app much longer ! If you get this app opp out of notices an alert ! You'll get pop ups all the time ! You can turn off in the app also !","3"
"7","Disaster Alert (PDC Global)","My job depends on international situational awareness and an up to date understanding of national and international level disasters. This app sends me so many alerts of so many “disasters”, many of them months old, that anything of actual significance gets totally washed out. This is after I upgraded the app and set the notification level to warning only. Maybe if you’re looking for something that covers a specific, hyper local area, there could be some use in it. Otherwise, keep looking. Totally disappointed since I’m also an EMOPs user and that app is great for building regional knowledge and understanding.","2"
"8","Disaster Alert (PDC Global)","This used to be my first choice app for keeping current with emergencies in our area.  However, they have “improved” it to the point of making it useless.    Our area has rather frequent flooding rain storms.  This app used to give timely and accurate notifications as soon as they were posted by Civil Defense.  Now, the app gives notifications, but instead of giving useful information, it will almost always state that the notice has expired - even just seconds after the notice was posted!   IT IS UTTERLY USELESS!    Now, after the most recent update, it won’t clear the notifications count.  It will clear temporarily, but as soon as there is another notification, the count will return showing the number of ALL of the notifications since the update, not just the current number.    I have found the Red Cross Emergency app to be much more accurate and informative.","2"
"9","Disaster Alert (PDC Global)","I don't know about other people but sometimes I get tunnel vision and tend to focus more on what is going on in my little corner of the world. This app has been an eye opener for me in terms of the bigger picture about calamities occurring all over our world. It is sobering to see so many disasters and makes me much more appreciative of each day. The app is easy to navigate and very informative. It's definitely a keeper.","5"
"10","Disaster Alert (PDC Global)","I found Disaster Alert to be a very effective in all its areas of operations, of course I installed it on a new iPad, my old iPad was limited my memory, it runs flawlessly at the speed of a fast internet connection, I have been a director of Emergency Medical Services in South Texas with many Cities, I know the importance of early warning, keep up the Good Work, all involved here.","5"
