id, app, content, score
1, "112 India", "Very good app and my family is safe ...", 5
2, "112 India", "Very good decision Modi ji 🙏🚩", 5
3, "112 India", "Facing tecnical issue not open application", 2
4, "112 India", "Very useful app @thanks for govt", 5
5, "112 India", "AAP", 5
6, "112 India", "It is most effective ... when I click in police option in trouble, within 5 second a call conduct from control room... it is faster ..", 5
7, "112 India", "Why should I share my contact with you, you are here to help you need permission like location not contact. Believe everyone it's fake. Don't install the govt is also stealing your data 😕. Never download it. Use se jada useless h. DON'T DOWNLOAD DON'T INSTALL", 1
8, "112 India", "I want it so badly . I stay alone at home to study. Near my house alcohol and commercial drugs are sold without a license. These are deserted areas, I always feel scared. people's negativity here।", 4
9, "112 India", "Unable to connect Maharashtra please update", 3
10, "112 India", "Good", 5
11, "112 India", "This app service not designed for Maharashtra state, it always shows unable to connect with server", 1
12, "112 India", "Very very nice app for when we in problem Immediately get a help and sefety...", 5
13, "112 India", "Great experience. no matter you're from which city ( locality), they all are always ready for help.", 5
14, "112 India", "I can't receive otp sms on my mobile please fix this problem", 5
15, "112 India", "Im from tamilnadu. The app shows technical issues. It doesnt connect. Please check", 1
16, "112 India", "Can't open it.", 1
17, "112 India", "Useless app no one calls you after clicking emergency buttons", 1
18, "112 India", "App is not working, always shows facing technical issue", 1
19, "112 India", "This app NO back end system. I Try to registration but OTP not generate or send.i fail to login", 1
20, "112 India", "Not able to register", 2
21, "112 India", "Excellent", 5
22, "112 India", "I'm select a maharashtra state but seeing technical issues Maharashtra state", 1
23, "112 India", "Does not work in Maharashtra", 1
24, "112 India", "Hopeless app. Forget for its working. I am not even able to sign in with otp as otp is not received and it shows error from its side. What help can be expected when one is even not in a position to sign up.", 1
25, "112 India", "This app is so useful", 5
26, "112 India", "I'm not able to access this app... it's not accepting any otp , i tried multiple times but it's continuously showing the msg of invalid otp", 1
27, "112 India", "Quick reply", 5
